分類,問い,回答
新たな経済に向けた給付金・定額減税: : ,給付金・定額減税の一体措置とはどのような措置ですか,"2023年11月に策定された経済対策に基づき、物価高に直撃されている方々を支援し、可処分所得を下支えするため、所得水準や世帯構成等に応じた各種給付金及び定額減税が実施されます。
「低所得世帯等への給付金」
　住民税非課税世帯、住民税均等割のみ課税される世帯に対して、給付を行います。またこれらの世帯のうち、18歳以下のこどもがいる場合は1人あたり5万円が加算されます。
「定額減税・調整給付」
　2024年分所得税額から3万円×（本人＋扶養親族等）、2024年度個人住民税額から1万円×（本人＋扶養親族等）の定額減税が行われます。また、定額減税しきれないと見込まれる納税者等に対して、定額減税しきれないと見込まれるおおむねの額を給付します（調整給付）。"EOL
新たな経済に向けた給付金・定額減税: : ,給付金の支給時期を知りたい,"支給時期については、給付の種類やお住まいの自治体（市区町村）ごとに異なります。
詳細な時期については、お住まいの自治体（市区町村）にお問い合わせください。"EOL
新たな経済に向けた給付金・定額減税: : ,定額減税とはどのような減税ですか,"定額減税とは、令和6年分の所得税と令和6年度分の個人住民税から、それぞれ一定の金額を減額する制度です。
所得税については、給与等や年金を受け取る際の源泉徴収税額や、予定納税額などから控除されます。
個人住民税については、納税義務者の所得割の額から控除されます。"EOL
新たな経済に向けた給付金・定額減税: : ,所得税の定額減税の対象になるのはどのような人ですか,"定額減税の対象者は、令和6年分の所得税の納税者である居住者で、令和6年分の所得税に係る合計所得金額が1,805万円以下である人です。
※　所得税の定額減税の詳細は、<こちら,https://www.nta.go.jp/users/gensen/teigakugenzei/index.htm>をご覧ください。"EOL
新たな経済に向けた給付金・定額減税: : ,所得税の定額減税の減税額はいくらですか,"所得税の定額減税額は、扶養している親族の有無等によって異なります。
具体的には以下の(1)と(2)を合計した金額となります。
(1)本人（居住者に限ります。）　30,000円
(2)同一生計配偶者又は扶養親族（いずれも居住者に限ります。）　1人につき30,000円
なお、(1)と(2)を合計した金額がその人の令和6年分の所得税額を超える場合には、その所得税額が控除される限度になります。 
※　所得税の定額減税の詳細は、<こちら,https://www.nta.go.jp/users/gensen/teigakugenzei/index.htm>をご覧ください。"EOL
新たな経済に向けた給付金・定額減税: : ,所得税の定額減税はいつの所得税から減額されますか,"所得税の定額減税は令和6年分の所得税から減税されます。
具体的な減税の時は、その人の所得の種類によって異なりますが、原則として以下のとおりとなります。
・給与所得のある方
令和6年6月1日以後最初に支払われる給与や賞与について、源泉徴収税額から定額減税額が控除され、控除しきれない部分の金額は、以後令和6年中に支払われる給与や賞与に対する源泉徴収税額から順次控除されます。なお、一定の場合には、年末調整の際に定額減税額が控除されます。
・国民年金など一定の公的年金等に係る所得のある方
令和6年6月1日以後最初に支払われる一定の公的年金等について、源泉徴収税額から定額減税額が控除され、控除しきれない部分の金額は、以後令和6年中に支払われる年金に対する源泉徴収税額から順次控除されます。なお、最終的な定額減税の精算は確定申告によって受けることになります。
・事業所得や不動産所得などその他の所得のある方
⑴　令和6年分の予定納税額からの控除
令和6年分の予定納税がある方については、第1期分予定納税（7月）から、本人分に係る定額減税額が控除されて通知されますが、令和6年7月31日までに管轄の税務署に予定納税の減額申請の手続を行うことで、同一生計配偶者や扶養親族に係る定額減税額の控除を受けることができます。
⑵　確定申告における年税額からの控除
事業所得者等で確定申告を行う人については、令和６年分の確定申告の際に、定額減税を適用しないで算出した所得税額から定額減税額が控除されます。
 ※　所得税の定額減税の詳細は、<こちら,https://www.nta.go.jp/users/gensen/teigakugenzei/index.htm>をご覧ください。"EOL
新たな経済に向けた給付金・定額減税: : ,所得税の定額減税を受けるためにはどのような手続が必要ですか,"所得税の定額減税を受けるために必要な手続は、その人の所得の種類によって異なりますが、原則として以下のとおりとなります。
・給与所得のある方
勤務先が給与等の支払時に扶養控除等申告書等に基づいて定額減税額を控除して源泉徴収するため、給与所得者は原則として新たな手続の必要はありません。なお、一定の場合には、勤務先に源泉徴収に係る申告書等を提出する必要があります。
・国民年金など一定の公的年金等に係る所得のある方
公的年金の支払者が、公的年金の支払時に扶養親族等申告書に基づいて定額減税額を控除して源泉徴収するため、年金受給者は原則として新たな手続の必要はありません。なお、最終的な定額減税の精算は確定申告によって受けることになります。
・事業所得や不動産所得などその他の所得のある方
⑴　令和6年分の予定納税額からの控除
令和6年分の予定納税がある方については、第1期分予定納税（7月）から、本人分に係る定額減税額が控除されて通知されますが、令和6年7月31日までに管轄の税務署に予定納税の減額申請の手続を行うことで、同一生計配偶者や扶養親族に係る定額減税額の控除を受けることができます。
⑵　確定申告における年税額からの控除
令和６年分の確定申告を行うことで、定額減税の適用を受けることができます。
※　所得税の定額減税の詳細は、<こちら,https://www.nta.go.jp/users/gensen/teigakugenzei/index.htm>をご覧ください。"EOL
新たな経済に向けた給付金・定額減税: : ,個人住民税の定額減税の対象になるのはどのような人ですか,"定額減税の対象者は、令和6年度分の個人住民税所得割の納税義務者で、前年の合計所得金額が 1,805 万円以下（給与収入のみの場合、給与収入 2,000 万円以下に相当）である人です。
以下の人は定額減税の対象とはなりません。
・前年の合計所得金額が 1,805 万円を超える人
・前年の合計所得金額が所得割の非課税限度額以下である人
・所得控除により課税総所得金額等がゼロとなる人
・税額控除により定額減税前に所得割額がゼロとなる人"EOL
新たな経済に向けた給付金・定額減税: : ,個人住民税の定額減税の減税額はいくらですか,"所得税の定額減税額は、扶養している親族の有無等によって異なります。
具体的には以下の(1)と(2)を合計した金額となります。
(1)本人　1万円
(2)控除対象配偶者又は扶養親族（国外居住者を除きます。）　1人につき1万円
(注)控除対象配偶者を除く同一生計配偶者（国外居住者を除く。）については、令和7年度分の所得割の額から、1万円を控除する。
なお、(1)と(2)を合計した金額がその人の令和６年度分の個人住民税所得割額を超える場合には、その所得割額が控除される限度になります。"EOL
新たな経済に向けた給付金・定額減税: : ,個人住民税の定額減税はいつから減額されますか,"個人住民税の定額減税は令和6年度分の個人住民税から減税されます。
具体的な減税の時は、その人の所得の種類によって異なりますが、原則として以下のとおりとなります。
・給与所得に係る特別徴収の場合
令和6年6月分は徴収せず、定額減税「後」の年税額を令和6年7月分～令和7年5月分の 11か月で均した税額を徴収します。
・公的年金等に係る所得に係る特別徴収の場合
定額減税「前」の年税額をもとに算出した令和６年 10 月分の特別徴収税額から控除し、控除しきれない場合は令和6年 12 月分以降の特別徴収税額から、順次控除し、徴収します。（仮特別徴収税額からは控除しません。）
ただし、令和６年度分の個人住民税において初めて公的年金等に係る所得から特別徴収される場合は、令和6年6月分及び8月分は下記普通徴収の方法による控除を実施し、控除しきれない場合は令和6年 10 月分以降の特別徴収税額から、順次控除します。
・普通徴収の場合
定額減税「前」の年税額をもとに算出した第1期分（令和6年6月分）の税額から控除し、第1期分から控除しきれない場合は、第2期分（令和6年8月分）以降の税額から、順次控除し、徴収します。"EOL
